England and Wales Code,England and Wales,Sex (2 categories) Code,Sex (2 categories),Age (91 categories) Code,Age (91 categories),Observation
K04000001,England and Wales,1,Female,0,Aged under 1 year,296691
K04000001,England and Wales,1,Female,1,Aged 1 year,310353
K04000001,England and Wales,1,Female,2,Aged 2 years,316678
K04000001,England and Wales,1,Female,3,Aged 3 years,321868
K04000001,England and Wales,1,Female,4,Aged 4 years,331752
K04000001,England and Wales,1,Female,5,Aged 5 years,338003
K04000001,England and Wales,1,Female,6,Aged 6 years,334244
K04000001,England and Wales,1,Female,7,Aged 7 years,338613
K04000001,England and Wales,1,Female,8,Aged 8 years,352045
K04000001,England and Wales,1,Female,9,Aged 9 years,357530
K04000001,England and Wales,1,Female,10,Aged 10 years,355845
K04000001,England and Wales,1,Female,11,Aged 11 years,353605
K04000001,England and Wales,1,Female,12,Aged 12 years,352516
K04000001,England and Wales,1,Female,13,Aged 13 years,350382
K04000001,England and Wales,1,Female,14,Aged 14 years,340785
K04000001,England and Wales,1,Female,15,Aged 15 years,330261
K04000001,England and Wales,1,Female,16,Aged 16 years,332162
K04000001,England and Wales,1,Female,17,Aged 17 years,327900
K04000001,England and Wales,1,Female,18,Aged 18 years,324819
K04000001,England and Wales,1,Female,19,Aged 19 years,338084
K04000001,England and Wales,1,Female,20,Aged 20 years,337666
K04000001,England and Wales,1,Female,21,Aged 21 years,348438
K04000001,England and Wales,1,Female,22,Aged 22 years,360865
K04000001,England and Wales,1,Female,23,Aged 23 years,369048
K04000001,England and Wales,1,Female,24,Aged 24 years,377316
K04000001,England and Wales,1,Female,25,Aged 25 years,377637
K04000001,England and Wales,1,Female,26,Aged 26 years,388625
K04000001,England and Wales,1,Female,27,Aged 27 years,398734
K04000001,England and Wales,1,Female,28,Aged 28 years,407374
K04000001,England and Wales,1,Female,29,Aged 29 years,419489
K04000001,England and Wales,1,Female,30,Aged 30 years,430751
K04000001,England and Wales,1,Female,31,Aged 31 years,426801
K04000001,England and Wales,1,Female,32,Aged 32 years,429538
K04000001,England and Wales,1,Female,33,Aged 33 years,434311
K04000001,England and Wales,1,Female,34,Aged 34 years,423778
K04000001,England and Wales,1,Female,35,Aged 35 years,419544
K04000001,England and Wales,1,Female,36,Aged 36 years,415402
K04000001,England and Wales,1,Female,37,Aged 37 years,407132
K04000001,England and Wales,1,Female,38,Aged 38 years,404238
K04000001,England and Wales,1,Female,39,Aged 39 years,403080
K04000001,England and Wales,1,Female,40,Aged 40 years,412995
K04000001,England and Wales,1,Female,41,Aged 41 years,404725
K04000001,England and Wales,1,Female,42,Aged 42 years,381526
K04000001,England and Wales,1,Female,43,Aged 43 years,358555
K04000001,England and Wales,1,Female,44,Aged 44 years,358404
K04000001,England and Wales,1,Female,45,Aged 45 years,363398
K04000001,England and Wales,1,Female,46,Aged 46 years,372378
K04000001,England and Wales,1,Female,47,Aged 47 years,378626
K04000001,England and Wales,1,Female,48,Aged 48 years,394780
K04000001,England and Wales,1,Female,49,Aged 49 years,411562
K04000001,England and Wales,1,Female,50,Aged 50 years,421748
K04000001,England and Wales,1,Female,51,Aged 51 years,411751
K04000001,England and Wales,1,Female,52,Aged 52 years,421888
K04000001,England and Wales,1,Female,53,Aged 53 years,419416
K04000001,England and Wales,1,Female,54,Aged 54 years,421059
K04000001,England and Wales,1,Female,55,Aged 55 years,422143
K04000001,England and Wales,1,Female,56,Aged 56 years,422022
K04000001,England and Wales,1,Female,57,Aged 57 years,412768
K04000001,England and Wales,1,Female,58,Aged 58 years,403497
K04000001,England and Wales,1,Female,59,Aged 59 years,390331
K04000001,England and Wales,1,Female,60,Aged 60 years,376349
K04000001,England and Wales,1,Female,61,Aged 61 years,358616
K04000001,England and Wales,1,Female,62,Aged 62 years,352337
K04000001,England and Wales,1,Female,63,Aged 63 years,341391
K04000001,England and Wales,1,Female,64,Aged 64 years,327326
K04000001,England and Wales,1,Female,65,Aged 65 years,312634
K04000001,England and Wales,1,Female,66,Aged 66 years,306708
K04000001,England and Wales,1,Female,67,Aged 67 years,307056
K04000001,England and Wales,1,Female,68,Aged 68 years,297970
K04000001,England and Wales,1,Female,69,Aged 69 years,292589
K04000001,England and Wales,1,Female,70,Aged 70 years,293580
K04000001,England and Wales,1,Female,71,Aged 71 years,300618
K04000001,England and Wales,1,Female,72,Aged 72 years,305160
K04000001,England and Wales,1,Female,73,Aged 73 years,331217
K04000001,England and Wales,1,Female,74,Aged 74 years,327899
K04000001,England and Wales,1,Female,75,Aged 75 years,248428
K04000001,England and Wales,1,Female,76,Aged 76 years,260805
K04000001,England and Wales,1,Female,77,Aged 77 years,238570
K04000001,England and Wales,1,Female,78,Aged 78 years,222676
K04000001,England and Wales,1,Female,79,Aged 79 years,190889
K04000001,England and Wales,1,Female,80,Aged 80 years,179782
K04000001,England and Wales,1,Female,81,Aged 81 years,182268
K04000001,England and Wales,1,Female,82,Aged 82 years,173804
K04000001,England and Wales,1,Female,83,Aged 83 years,162241
K04000001,England and Wales,1,Female,84,Aged 84 years,149944
K04000001,England and Wales,1,Female,85,Aged 85 years,136120
K04000001,England and Wales,1,Female,86,Aged 86 years,122305
K04000001,England and Wales,1,Female,87,Aged 87 years,108354
K04000001,England and Wales,1,Female,88,Aged 88 years,98357
K04000001,England and Wales,1,Female,89,Aged 89 years,87375
K04000001,England and Wales,1,Female,90,Aged 90 years and over,359359
K04000001,England and Wales,2,Male,0,Aged under 1 year,310633
K04000001,England and Wales,2,Male,1,Aged 1 year,325410
K04000001,England and Wales,2,Male,2,Aged 2 years,333514
K04000001,England and Wales,2,Male,3,Aged 3 years,336901
K04000001,England and Wales,2,Male,4,Aged 4 years,348236
K04000001,England and Wales,2,Male,5,Aged 5 years,355132
K04000001,England and Wales,2,Male,6,Aged 6 years,350401
K04000001,England and Wales,2,Male,7,Aged 7 years,354629
K04000001,England and Wales,2,Male,8,Aged 8 years,370286
K04000001,England and Wales,2,Male,9,Aged 9 years,373742
K04000001,England and Wales,2,Male,10,Aged 10 years,375723
K04000001,England and Wales,2,Male,11,Aged 11 years,370889
K04000001,England and Wales,2,Male,12,Aged 12 years,369527
K04000001,England and Wales,2,Male,13,Aged 13 years,369018
K04000001,England and Wales,2,Male,14,Aged 14 years,357739
K04000001,England and Wales,2,Male,15,Aged 15 years,348218
K04000001,England and Wales,2,Male,16,Aged 16 years,352550
K04000001,England and Wales,2,Male,17,Aged 17 years,348431
K04000001,England and Wales,2,Male,18,Aged 18 years,342820
K04000001,England and Wales,2,Male,19,Aged 19 years,349419
K04000001,England and Wales,2,Male,20,Aged 20 years,348551
K04000001,England and Wales,2,Male,21,Aged 21 years,357691
K04000001,England and Wales,2,Male,22,Aged 22 years,364516
K04000001,England and Wales,2,Male,23,Aged 23 years,366654
K04000001,England and Wales,2,Male,24,Aged 24 years,371381
K04000001,England and Wales,2,Male,25,Aged 25 years,370311
K04000001,England and Wales,2,Male,26,Aged 26 years,375456
K04000001,England and Wales,2,Male,27,Aged 27 years,381395
K04000001,England and Wales,2,Male,28,Aged 28 years,386633
K04000001,England and Wales,2,Male,29,Aged 29 years,396086
K04000001,England and Wales,2,Male,30,Aged 30 years,407212
K04000001,England and Wales,2,Male,31,Aged 31 years,400634
K04000001,England and Wales,2,Male,32,Aged 32 years,400341
K04000001,England and Wales,2,Male,33,Aged 33 years,404087
K04000001,England and Wales,2,Male,34,Aged 34 years,391347
K04000001,England and Wales,2,Male,35,Aged 35 years,394842
K04000001,England and Wales,2,Male,36,Aged 36 years,389732
K04000001,England and Wales,2,Male,37,Aged 37 years,383237
K04000001,England and Wales,2,Male,38,Aged 38 years,381483
K04000001,England and Wales,2,Male,39,Aged 39 years,382929
K04000001,England and Wales,2,Male,40,Aged 40 years,390970
K04000001,England and Wales,2,Male,41,Aged 41 years,386634
K04000001,England and Wales,2,Male,42,Aged 42 years,367438
K04000001,England and Wales,2,Male,43,Aged 43 years,346686
K04000001,England and Wales,2,Male,44,Aged 44 years,347829
K04000001,England and Wales,2,Male,45,Aged 45 years,353127
K04000001,England and Wales,2,Male,46,Aged 46 years,362600
K04000001,England and Wales,2,Male,47,Aged 47 years,368194
K04000001,England and Wales,2,Male,48,Aged 48 years,384253
K04000001,England and Wales,2,Male,49,Aged 49 years,399803
K04000001,England and Wales,2,Male,50,Aged 50 years,406324
K04000001,England and Wales,2,Male,51,Aged 51 years,399247
K04000001,England and Wales,2,Male,52,Aged 52 years,407988
K04000001,England and Wales,2,Male,53,Aged 53 years,404965
K04000001,England and Wales,2,Male,54,Aged 54 years,409045
K04000001,England and Wales,2,Male,55,Aged 55 years,406631
K04000001,England and Wales,2,Male,56,Aged 56 years,407580
K04000001,England and Wales,2,Male,57,Aged 57 years,397531
K04000001,England and Wales,2,Male,58,Aged 58 years,389382
K04000001,England and Wales,2,Male,59,Aged 59 years,377154
K04000001,England and Wales,2,Male,60,Aged 60 years,367057
K04000001,England and Wales,2,Male,61,Aged 61 years,348392
K04000001,England and Wales,2,Male,62,Aged 62 years,340031
K04000001,England and Wales,2,Male,63,Aged 63 years,330260
K04000001,England and Wales,2,Male,64,Aged 64 years,313845
K04000001,England and Wales,2,Male,65,Aged 65 years,299067
K04000001,England and Wales,2,Male,66,Aged 66 years,289582
K04000001,England and Wales,2,Male,67,Aged 67 years,289362
K04000001,England and Wales,2,Male,68,Aged 68 years,278127
K04000001,England and Wales,2,Male,69,Aged 69 years,272042
K04000001,England and Wales,2,Male,70,Aged 70 years,270932
K04000001,England and Wales,2,Male,71,Aged 71 years,274216
K04000001,England and Wales,2,Male,72,Aged 72 years,278582
K04000001,England and Wales,2,Male,73,Aged 73 years,300163
K04000001,England and Wales,2,Male,74,Aged 74 years,295616
K04000001,England and Wales,2,Male,75,Aged 75 years,221123
K04000001,England and Wales,2,Male,76,Aged 76 years,229938
K04000001,England and Wales,2,Male,77,Aged 77 years,208180
K04000001,England and Wales,2,Male,78,Aged 78 years,190481
K04000001,England and Wales,2,Male,79,Aged 79 years,159181
K04000001,England and Wales,2,Male,80,Aged 80 years,146846
K04000001,England and Wales,2,Male,81,Aged 81 years,146401
K04000001,England and Wales,2,Male,82,Aged 82 years,136733
K04000001,England and Wales,2,Male,83,Aged 83 years,124811
K04000001,England and Wales,2,Male,84,Aged 84 years,112246
K04000001,England and Wales,2,Male,85,Aged 85 years,97914
K04000001,England and Wales,2,Male,86,Aged 86 years,85813
K04000001,England and Wales,2,Male,87,Aged 87 years,72740
K04000001,England and Wales,2,Male,88,Aged 88 years,63092
K04000001,England and Wales,2,Male,89,Aged 89 years,53276
K04000001,England and Wales,2,Male,90,Aged 90 years and over,170171
